City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,san luis,-33.295,-66.3356,16.17,89,92,8.44,AR,1699672544
247,parabel',58.6978,81.4825,-1.16,93,100,2.24,RU,1699672544
248,puerto baquerizo moreno,-0.9,-89.6,24.32,81,44,5.46,EC,1699672545
249,zhaodong,46.0833,125.9833,-7.09,72,2,3.6,CN,1699672546
250,menaka,15.9182,2.4022,25.9,13,53,3.6,ML,1699672546
251,knysna,-34.0363,23.0471,17.83,84,68,3.5,ZA,1699672546
252,serdobsk,52.4586,44.2169,1.77,95,70,2.43,RU,1699672546
253,khash,28.2211,61.2158,12.81,28,0,1.29,IR,1699672547
254,kalmunai,7.4167,81.8167,27.77,78,6,1.79,LK,1699672547
255,isiro,2.7739,27.616,19.64,99,100,0.22,CD,1699672547
256,trincomalee,8.5711,81.2335,28.41,76,15,4.6,LK,1699672548
257,poso,-1.3959,120.7524,30.77,64,51,2.16,ID,1699672548
258,kokopo,-4.352,152.2633,28.42,74,100,5.05,PG,1699672548
259,bayji,34.9311,43.487,19.12,36,33,3.05,IQ,1699672548
260,havre,49.5833,0.3333,9.87,81,75,6.69,FR,1699672548
261,kerikeri,-35.2268,173.9474,17.31,63,34,3.52,NZ,1699672549
262,mandalgovi,45.7625,106.2708,-9.09,30,0,7.29,MN,1699672549
263,caburan,5.9181,125.6411,29.66,70,15,4.32,PH,1699672549
264,bousso,10.4795,16.7117,25.55,67,90,1.53,TD,1699672549
265,labuan,5.2767,115.2417,29.2,79,40,1.03,MY,1699672549
266,cunewalde,51.1,14.5167,4.95,92,54,2.79,DE,1699672549
267,vernon,50.2581,-119.2691,6.91,68,72,1.34,CA,1699672538
268,santa elena de uairen,4.6167,-61.1333,22.93,71,71,1.36,VE,1699672550
269,addiet canna,11.2667,37.4833,12.86,85,72,2.1,ET,1699672550
270,nantucket,41.2835,-70.0995,9.08,65,0,3.09,US,1699672550
271,yeed,4.55,43.0333,24.5,80,68,5.52,SO,1699672550
272,pemangkat,1.1667,108.9667,27.0,79,100,2.91,ID,1699672550
273,figuig (centre),32.1089,-1.2286,15.09,58,4,3.16,MA,1699672551
274,pordic,48.5705,-2.8178,7.49,93,41,2.24,FR,1699672551
275,praia da vitoria,38.7333,-27.0667,20.14,83,40,6.11,PT,1699672551
276,as sulayyil,20.4607,45.5779,19.14,40,100,3.62,SA,1699672551
277,piterka,50.6803,47.4454,2.55,93,0,4.21,RU,1699672551
278,balabac,7.9868,117.0645,29.82,69,100,3.9,PH,1699672551
279,beli,7.8587,10.9719,24.72,78,97,0.47,NG,1699672552
280,san antonio de pale,-1.4014,5.6325,26.03,83,100,5.59,GQ,1699672552
281,arzamas,55.3949,43.8399,1.48,96,86,2.19,RU,1699672552
282,horki,54.2861,30.9842,4.42,88,100,5.54,BY,1699672552
283,san patricio,28.017,-97.5169,16.58,92,100,4.55,US,1699672552
284,okhotsk,59.3833,143.3,-14.47,80,6,9.51,RU,1699672552
285,sant lluis,39.8526,4.2594,17.22,72,0,4.12,ES,1699672553
286,fonte boa,-2.4959,-66.2662,25.44,82,23,1.5,BR,1699672377
287,la passe,45.5549,-0.8967,9.43,72,100,2.63,FR,1699672553
288,misratah,32.3754,15.0925,21.83,64,78,2.14,LY,1699672553
289,goulburn,-34.75,149.7167,30.44,30,56,2.68,AU,1699672553
290,hirara,24.8,125.2833,25.92,88,75,8.23,JP,1699672553
291,haiku-pauwela,20.9219,-156.3051,26.01,65,40,7.72,US,1699672553
292,enumclaw,47.2043,-121.9915,9.58,81,100,1.34,US,1699672554
293,itoman,26.1247,127.6694,25.22,78,75,5.66,JP,1699672554
294,jalarpet,12.5667,78.5833,23.48,77,77,2.2,IN,1699672554
295,new norfolk,-42.7826,147.0587,19.4,41,36,4.69,AU,1699672554
296,sinabang,2.4803,96.3801,27.29,77,100,0.42,ID,1699672554
297,tolanaro,-25.0319,46.9987,20.44,70,54,0.81,MG,1699672555
298,aljezur,37.3191,-8.8033,15.96,91,40,0.94,PT,1699672555
299,sidareja,-7.4846,108.7923,32.44,50,90,2.52,ID,1699672555
300,preobrazheniye,42.9019,133.9064,-1.75,38,4,3.7,RU,1699672555
301,ifon,6.9241,5.776,22.7,99,99,1.24,NG,1699672555
302,kavaratti,10.5669,72.642,28.4,74,75,2.61,IN,1699672555
303,gorno-altaysk,51.9561,85.955,1.4,86,100,1.79,RU,1699672556
304,novyy urgal,51.0736,132.5642,-9.61,70,59,0.3,RU,1699672556
305,omaha,41.2586,-95.9378,6.35,60,0,2.57,US,1699672537
306,constantia,44.1833,28.65,13.38,82,100,7.47,RO,1699672556
307,ciutadella,40.0011,3.8414,17.45,65,4,10.54,ES,1699672556
308,chulakkurgan,43.765,69.1814,9.48,29,100,3.97,KZ,1699672556
309,lupane,-18.9315,27.807,20.22,50,6,2.93,ZW,1699672556
310,iringa,-7.7667,35.7,16.46,75,98,2.88,TZ,1699672557
311,pangai,-19.8,-174.35,24.06,88,100,7.72,TO,1699672557
312,san pedro,14.35,121.0167,30.73,72,75,3.09,PH,1699672557
313,mount isa,-20.7333,139.5,34.87,34,75,4.63,AU,1699672557
314,vishnyeva,54.7122,26.5225,4.15,91,100,3.21,BY,1699672557
315,enewetak,11.3474,162.3373,28.63,77,75,7.58,MH,1699672557
316,kodinar,20.7903,70.7031,28.78,50,6,3.66,IN,1699672558
317,palembang,-2.9167,104.7458,31.05,70,40,1.03,ID,1699672558
318,paciran,-6.8767,112.3761,31.41,59,47,1.66,ID,1699672558
319,juneau,58.3019,-134.4197,4.67,97,100,5.66,US,1699672306
320,keren,15.7778,38.4581,18.51,71,4,2.79,ER,1699672558
321,tres lagoas,-20.7511,-51.6783,28.28,28,64,3.07,BR,1699672558
322,khandyga,62.6667,135.6,-28.19,96,86,0.23,RU,1699672559
323,brookings,44.3114,-96.7984,-0.9,86,0,2.57,US,1699672323
324,happy valley-goose bay,53.3168,-60.3315,-2.83,80,75,4.63,CA,1699672511
325,lafiagi,8.8667,5.4167,25.78,75,100,1.96,NG,1699672559
326,isla del bosque,22.7333,-105.85,25.69,80,66,3.52,MX,1699672559
327,itaituba,-4.2761,-55.9836,27.64,65,55,1.13,BR,1699672559
328,altsasu,42.9,-2.1652,11.89,98,100,1.81,ES,1699672560
329,fortuna,40.5982,-124.1573,12.59,94,100,2.57,US,1699672560
330,namie,37.4833,141.0,10.4,54,15,9.22,JP,1699672560
331,olyokminsk,60.3736,120.4264,-7.96,85,100,3.74,RU,1699672560
332,tamanrasset,22.785,5.5228,12.95,16,0,2.06,DZ,1699672560
333,bom jesus da lapa,-13.255,-43.4181,26.04,42,19,1.9,BR,1699672561
334,port douglas,-16.4833,145.4667,26.65,67,45,5.59,AU,1699672561
335,sarupathar,26.1984,93.8094,23.1,75,3,1.57,IN,1699672561
336,taguatinga,-12.3857,-46.5711,29.5,31,67,2.18,BR,1699672561
337,orange,33.7,-117.7675,19.93,43,0,0.0,US,1699672377
338,ivanava,52.1451,25.5365,5.03,90,100,3.35,BY,1699672562
339,baharly,38.4362,57.4316,13.08,66,100,5.63,TM,1699672562
340,hobyo,5.3505,48.5268,24.43,89,100,3.92,SO,1699672562
341,hadejia,12.4498,10.0444,24.5,22,67,4.05,NG,1699672563
342,terbanggi besar,-4.8667,105.2333,32.39,51,82,3.55,ID,1699672563
343,boulsa,12.6675,-0.5758,26.9,15,81,3.55,BF,1699672564
344,port lincoln,-34.7333,135.8667,16.64,55,89,8.44,AU,1699672564
345,holualoa,19.6228,-155.9522,24.91,78,100,2.57,US,1699672564
346,vila velha,-20.3297,-40.2925,24.97,90,20,2.57,BR,1699672565
347,laboulaye,-34.1266,-63.3912,15.55,97,100,6.5,AR,1699672565
348,hasaki,35.7333,140.8333,13.22,63,100,9.9,JP,1699672565
349,galesong,-5.3166,119.3661,33.01,54,4,2.77,ID,1699672565
350,lahad datu,5.0268,118.327,28.75,79,71,1.28,MY,1699672566
351,wahpeton,46.2652,-96.6059,1.01,80,100,0.0,US,1699672566
352,maragogi,-9.0122,-35.2225,24.21,78,30,3.15,BR,1699672566
353,uturoa,-16.7333,-151.4333,27.1,82,100,5.63,PF,1699672566
354,roma,43.2128,-75.4557,5.53,82,100,2.06,US,1699672567
355,riberalta,-10.9833,-66.1,27.68,58,15,1.16,BO,1699672567
356,tionk essil,12.7856,-16.5217,22.98,74,89,2.34,SN,1699672568
357,harstad,68.799,16.5293,0.34,96,13,1.34,NO,1699672568
358,camana,-16.6228,-72.7111,20.1,88,85,2.63,PE,1699672569
359,montanha,-18.1269,-40.3633,22.03,84,11,2.61,BR,1699672570
360,shenjiamen,29.9576,122.298,16.23,71,100,7.2,CN,1699672570
361,greenville,35.6127,-77.3663,11.97,79,100,2.57,US,1699672570
362,taltal,-25.4,-70.4833,18.21,75,5,1.45,CL,1699672571
363,saldanha,-33.0117,17.9442,14.03,89,100,4.16,ZA,1699672571
364,kupang,-10.1667,123.5833,33.32,66,40,4.12,ID,1699672571
